,stop_id,stop_name,geometry,relative_position
0,80101,Downtown Long Beach Station,POINT (-118.192921 33.768071),0.0
1,80102,Pacific Ave Station,POINT (-118.1937 33.772258),0.015038365994867247
2,80105,Anaheim Street Station,POINT (-118.189384 33.78183),0.056841557882045986
3,80106,Pacific Coast Hwy Station,POINT (-118.189382 33.78909),0.07909344447367397
4,80107,Willow Street Station,POINT (-118.189834 33.80707899999999),0.1346358563448944
5,80108,Wardlow Station,POINT (-118.19609 33.819865),0.1783325830147592
6,80109,Del Amo Station,POINT (-118.211017 33.848222),0.2769232974304446
7,80110,Artesia Station,POINT (-118.222503 33.876082),0.36929471483024906
8,80111,Compton Station,POINT (-118.224249 33.89749),0.43522006465954144
9,80112,Willowbrook - Rosa Parks Station - Metro Blue Line,POINT (-118.237555 33.928048),0.5600720017720844
10,80113,103rd Street / Watts Towers  Station,POINT (-118.243159 33.94222),0.607491371669274
11,80114,Firestone Station,POINT (-118.243205 33.959611),0.6607977235081988
12,80115,Florence Station,POINT (-118.243271 33.97374),0.7041024290202527
13,80116,Slauson Station,POINT (-118.243398 33.98876),0.7501449098549374
14,80117,Vernon Station,POINT (-118.243303 34.00292),0.7935442740561791
15,80118,Washington Station,POINT (-118.243084 34.01965),0.8448266782582513
16,80119,San Pedro Street Station,POINT (-118.255505 34.026807),0.8903047134139584
17,80120,Grand / LATTC Station,POINT (-118.269333 34.033155),0.9369389646572139
18,80121,Pico Station,POINT (-118.266118 34.040735),0.9664983020895552
19,80122,7th Street / Metro Center Station - Metro Blue & Expo Lines,POINT (-118.258822 34.04861),0.9993948119770075
