,stop_id,stop_name,geometry,relative_position
0,80122,7th Street / Metro Center Station - Metro Blue & Expo Lines,POINT (-118.258822 34.04861),0.0005562555751149388
1,80121,Pico Station,POINT (-118.266118 34.040735),0.03432688117968243
2,80120,Grand / LATTC Station,POINT (-118.269333 34.033155),0.0649506950125078
3,80119,San Pedro Street Station,POINT (-118.255505 34.026807),0.11281077988502558
4,80118,Washington Station,POINT (-118.243084 34.01965),0.1592246249184883
5,80117,Vernon Station,POINT (-118.243303 34.00292),0.2118580663195681
6,80116,Slauson Station,POINT (-118.243398 33.98876),0.256405700367219
7,80115,Florence Station,POINT (-118.243271 33.97374),0.3036523457024244
8,80114,Firestone Station,POINT (-118.243205 33.959611),0.3480978625303554
9,80113,103rd Street / Watts Towers  Station,POINT (-118.243159 33.94222),0.4028056383808617
10,80112,Willowbrook - Rosa Parks Station - Metro Blue Line,POINT (-118.237555 33.928048),0.4515488018025089
11,80111,Compton Station,POINT (-118.224249 33.89749),0.5574566168836399
12,80110,Artesia Station,POINT (-118.222503 33.876082),0.6251635365184037
13,80109,Del Amo Station,POINT (-118.211017 33.848222),0.7199730776184248
14,80108,Wardlow Station,POINT (-118.19609 33.819865),0.8211789191867266
15,80107,Willow Street Station,POINT (-118.189834 33.80707899999999),0.8659976599164401
16,80106,Pacific Coast Hwy Station,POINT (-118.189382 33.78909),0.9229145475553492
17,80105,Anaheim Street Station,POINT (-118.189384 33.78183),0.9457516387974011
18,80154,5th Street Station,POINT (-118.189412 33.773598),0.9716751319851388
19,80153,1st Street Station,POINT (-118.189362 33.76874),0.9869657239419702
20,80101,Downtown Long Beach Station,POINT (-118.192921 33.768071),0.9998309528451039
