,stop_id,stop_name,geometry,relative_position
0,80314,Norwalk Station,POINT (-118.104717 33.914033),0.010974521136526588
1,80313,Lakewood Blvd Station,POINT (-118.1406 33.91307),0.1177044657415307
2,80312,Long Beach Blvd Station,POINT (-118.209945 33.92488),0.33176364971971023
3,80311,Willowbrook - Rosa Parks Station - Metro Green Line,POINT (-118.238052 33.928258),0.41858525118839524
4,80310,Avalon Station,POINT (-118.265217 33.92746500000001),0.4996082186212404
5,80309,Harbor Freeway Station,POINT (-118.2811 33.928714),0.5471516967276833
6,80308,Vermont / Athens Station,POINT (-118.291733 33.928683),0.5787573497105992
7,80307,Crenshaw Station,POINT (-118.32655 33.925201),0.6832199991531518
8,80306,Hawthorne / Lennox Station,POINT (-118.351602 33.933408),0.7642739120079932
9,80305,Aviation / LAX Station,POINT (-118.377134 33.929621),0.841796148543548
10,80304,Mariposa Station,POINT (-118.387572 33.9232),0.8864667671816728
11,80303,El Segundo Station,POINT (-118.386539 33.916063),0.9090127495451105
12,80302,Douglas Station,POINT (-118.383113 33.905299),0.9450493337756496
13,80301,Redondo Beach Station,POINT (-118.369196 33.89464),0.9971642913073713
