,stop_id,stop_name,geometry,relative_position
0,80401,Atlantic Station,POINT (-118.154469 34.033398),0.0027147209069103406
1,80402,East LA Civic Center Station,POINT (-118.161206 34.033364),0.01575929995820079
2,80403,Maravilla Station,POINT (-118.16814 34.033319),0.02918224998748442
3,80404,Indiana Station,POINT (-118.192182 34.0343),0.07725681261274032
4,80405,Soto Station,POINT (-118.210061 34.043747),0.1179075073816866
5,80406,Mariachi Plaza / Boyle Heights Station,POINT (-118.219648 34.047215),0.1379222770974706
6,80407,Pico / Aliso Station,POINT (-118.22594 34.047634),0.15012881287054639
7,80408,Little Tokyo / Arts District Station,POINT (-118.237901 34.0501),0.1752134735489623
8,80409,Union Station - Metro Gold Line,POINT (-118.234759 34.056061),0.19120986872713164
9,80410,Chinatown Station,POINT (-118.23584 34.063861),0.2092805942909434
10,80411,Lincoln Heights / Cypress Park Station,POINT (-118.220429 34.080949),0.25626888782157436
11,80412,Heritage Square / Arroyo Station,POINT (-118.213213 34.087227),0.2748311558411358
12,80413,Southwest Museum Station,POINT (-118.206712 34.098243),0.3010717323287395
13,80414,Highland Park Station,POINT (-118.192606 34.111179),0.3411688411879446
14,80415,South Pasadena Station,POINT (-118.157886 34.115186),0.411531855288269
15,80416,Fillmore Station,POINT (-118.148126 34.133521),0.4556171146068912
16,80417,Del Mar Station,POINT (-118.148214 34.14191),0.47185755421944103
17,80418,Memorial Park Station,POINT (-118.147512 34.148356),0.48462169802265204
18,80419,Lake Station,POINT (-118.13139 34.151806),0.5196040714371686
19,80420,Allen Station,POINT (-118.114348 34.152417),0.5526316697964673
20,80421,Sierra Madre Villa Station,POINT (-118.081212 34.147752),0.6190413518582034
21,80422,Arcadia Station,POINT (-118.029199 34.14286),0.7228540419122744
22,80423,Monrovia Station,POINT (-118.003473 34.133155),0.776553929184857
23,80424,Duarte / City of Hope Station,POINT (-117.96768 34.132518),0.8460144389287764
24,80425,Irwindale Station,POINT (-117.932506 34.129048),0.9154543429905437
25,80426,Azusa Downtown Station,POINT (-117.906631 34.135863),0.9673916851784076
26,80427,APU / Citrus College Station,POINT (-117.891636 34.136814),0.9966254588829816
