,stop_id,stop_name,geometry,relative_position
0,80122,7th Street / Metro Center Station - Metro Blue & Expo Lines,POINT (-118.258822 34.04861),0.0005580172583688329
1,80121,Pico Station,POINT (-118.266118 34.040735),0.04223538315326945
2,80123,LATTC / Ortho Institute Station,POINT (-118.273603 34.029112),0.09601527711914032
3,80124,Jefferson / USC Station,POINT (-118.278118 34.022123),0.12848643220031594
4,80125,Expo Park / USC Station,POINT (-118.285734 34.018227),0.16562321483224504
5,80126,Expo / Vermont Station,POINT (-118.29154 34.018245),0.1881598178753139
6,80127,Expo / Western Station,POINT (-118.30891 34.018331),0.2555894379971517
7,80128,Expo / Crenshaw Station,POINT (-118.335078 34.022526),0.35882468236232024
8,80129,Farmdale Station,POINT (-118.346095 34.023981),0.4019814653566468
9,80130,Expo / La Brea / Ethel Bradley Station,POINT (-118.355159 34.02480300000001),0.43731133538929656
10,80131,La Cienega / Jefferson Station,POINT (-118.37212 34.026355),0.5034348927993009
11,80132,Culver City Station,POINT (-118.388986 34.02789600000001),0.5691837536518976
12,80133,Palms Station,POINT (-118.404255 34.029323),0.6287160227969085
13,80134,Westwood / Rancho Park Station,POINT (-118.424576 34.03681599999999),0.7183446776967688
14,80135,Expo / Sepulveda Station,POINT (-118.434234 34.035408),0.7562349647230353
15,80136,Expo / Bundy Station,POINT (-118.452896 34.031705),0.8301123785834443
16,80137,26th Street / Bergamot Station,POINT (-118.46912 34.027995),0.8947935559446143
17,80138,17th Street / SMC Station,POINT (-118.480372 34.023155),0.9426962553796872
18,80139,Downtown Santa Monica Station,POINT (-118.491384 34.01401),0.9984136234508203
